Iter 55, Training Accuracy: 0.8403333395719528, Training Loss: 1.8079634681344032, Testing Accuracy: 0.8480000019073486, Testing Loss: 1.7122202441096306
Iter 56, Training Accuracy: 0.8406666725873947, Training Loss: 1.8323007673025131, Testing Accuracy: 0.8326666682958603, Testing Loss: 1.833696410059929
Iter 57, Training Accuracy: 0.8223333328962326, Training Loss: 1.9705624505877495, Testing Accuracy: 0.8123333424329757, Testing Loss: 2.0978416949510574
Iter 58, Training Accuracy: 0.852999997138977, Training Loss: 1.6716513931751251, Testing Accuracy: 0.8610000014305115, Testing Loss: 1.611516285687685
Iter 59, Training Accuracy: 0.8553333312273026, Training Loss: 1.6962442584335804, Testing Accuracy: 0.8636666744947433, Testing Loss: 1.6415414735674858
Iter 60, Training Accuracy: 0.8560000002384186, Training Loss: 1.634993076324463, Testing Accuracy: 0.8650000035762787, Testing Loss: 1.5744873881340027
Iter 61, Training Accuracy: 0.8830000013113022, Training Loss: 1.4401701055467129, Testing Accuracy: 0.8749999970197677, Testing Loss: 1.527920451015234
Iter 62, Training Accuracy: 0.8746666759252548, Training Loss: 1.5086004473268986, Testing Accuracy: 0.8713333368301391, Testing Loss: 1.5230144821107388
Iter 63, Training Accuracy: 0.9, Training Loss: 1.3590406440198421, Testing Accuracy: 0.8910000026226044, Testing Loss: 1.4595787934958935
Iter 64, Training Accuracy: 0.894333329796791, Training Loss: 1.3943972438573837, Testing Accuracy: 0.8996666729450226, Testing Loss: 1.3368838839232922
Iter 65, Training Accuracy: 0.897000002861023, Training Loss: 1.353701289743185, Testing Accuracy: 0.8909999996423721, Testing Loss: 1.4129402749240398
Iter 66, Training Accuracy: 0.9026666700839996, Training Loss: 1.253752551972866, Testing Accuracy: 0.8983333349227905, Testing Loss: 1.2897758036851883
Iter 67, Training Accuracy: 0.9, Training Loss: 1.2190771512687206, Testing Accuracy: 0.8936666667461395, Testing Loss: 1.2816119901835918
Iter 68, Training Accuracy: 0.8853333353996277, Training Loss: 1.360333863645792, Testing Accuracy: 0.8846666663885117, Testing Loss: 1.3806080855429173
Iter 69, Training Accuracy: 0.9130000054836274, Training Loss: 1.2085445299744606, Testing Accuracy: 0.9156666696071625, Testing Loss: 1.1704306714236736
Iter 70, Training Accuracy: 0.9166666746139527, Training Loss: 1.171772986650467, Testing Accuracy: 0.9133333384990692, Testing Loss: 1.1812501139938831
Iter 71, Training Accuracy: 0.9083333373069763, Training Loss: 1.1570058204233646, Testing Accuracy: 0.909333336353302, Testing Loss: 1.1520528681576252
Iter 72, Training Accuracy: 0.9096666634082794, Training Loss: 1.1988240890204906, Testing Accuracy: 0.9023333311080932, Testing Loss: 1.270810753107071
Iter 73, Training Accuracy: 0.9073333412408828, Training Loss: 1.1339379586279392, Testing Accuracy: 0.9116666734218597, Testing Loss: 1.1404806561768055
Iter 74, Training Accuracy: 0.9206666707992553, Training Loss: 1.0983924195170403, Testing Accuracy: 0.9099999994039536, Testing Loss: 1.1998858079314232
Iter 75, Training Accuracy: 0.9389999955892563, Training Loss: 0.9077077023684978, Testing Accuracy: 0.9310000032186508, Testing Loss: 0.9843186810612679
Iter 76, Training Accuracy: 0.9273333370685577, Training Loss: 0.9565991684794426, Testing Accuracy: 0.9306666761636734, Testing Loss: 0.94850168004632
Iter 77, Training Accuracy: 0.9336666703224182, Training Loss: 0.9317999836057425, Testing Accuracy: 0.933333334326744, Testing Loss: 0.9730830900371075
Iter 78, Training Accuracy: 0.9310000002384186, Training Loss: 0.9160047695040703, Testing Accuracy: 0.9353333324193954, Testing Loss: 0.907596830278635
Iter 79, Training Accuracy: 0.9056666761636734, Training Loss: 1.1971603818237782, Testing Accuracy: 0.9033333331346511, Testing Loss: 1.2031426280736923
Iter 80, Training Accuracy: 0.9323333352804184, Training Loss: 0.9647461511194706, Testing Accuracy: 0.9376666635274887, Testing Loss: 0.9029203597456217
Iter 81, Training Accuracy: 0.941333332657814, Training Loss: 0.8451187238097191, Testing Accuracy: 0.9476666539907456, Testing Loss: 0.7955071814358234
Iter 82, Training Accuracy: 0.9443333297967911, Training Loss: 0.7873819544911385, Testing Accuracy: 0.9456666588783265, Testing Loss: 0.7809418682008982
Iter 83, Training Accuracy: 0.9456666648387909, Training Loss: 0.8058161456137896, Testing Accuracy: 0.9276666730642319, Testing Loss: 0.9730213582515717
Iter 84, Training Accuracy: 0.9516666561365128, Training Loss: 0.7121727000921965, Testing Accuracy: 0.9406666666269302, Testing Loss: 0.8083542007952929
Iter 85, Training Accuracy: 0.9223333358764648, Training Loss: 1.0169162582606077, Testing Accuracy: 0.9243333369493485, Testing Loss: 1.023928664624691
Iter 86, Training Accuracy: 0.9569999903440476, Training Loss: 0.6643009707331657, Testing Accuracy: 0.9509999871253967, Testing Loss: 0.7210327368229628
Iter 87, Training Accuracy: 0.9373333305120468, Training Loss: 0.8817418031394482, Testing Accuracy: 0.942333322763443, Testing Loss: 0.8224921636283398
Iter 88, Training Accuracy: 0.9529999971389771, Training Loss: 0.6838276516646147, Testing Accuracy: 0.9496666610240936, Testing Loss: 0.7401600833982229
Iter 89, Training Accuracy: 0.9496666580438614, Training Loss: 0.7040910953655839, Testing Accuracy: 0.9589999943971634, Testing Loss: 0.6149629354476929
Iter 90, Training Accuracy: 0.9496666580438614, Training Loss: 0.7198452018201351, Testing Accuracy: 0.9543333292007447, Testing Loss: 0.6522887144237757
Iter 91, Training Accuracy: 0.9449999928474426, Training Loss: 0.7362553309649229, Testing Accuracy: 0.9513333290815353, Testing Loss: 0.6683157328516245
Iter 92, Training Accuracy: 0.9556666642427445, Training Loss: 0.6231762804090977, Testing Accuracy: 0.951666659116745, Testing Loss: 0.6389096230268478
Iter 93, Training Accuracy: 0.9576666593551636, Training Loss: 0.6140710655599833, Testing Accuracy: 0.9566666662693024, Testing Loss: 0.624628814868629
Iter 94, Training Accuracy: 0.9629999935626984, Training Loss: 0.5521499924361706, Testing Accuracy: 0.9626666605472565, Testing Loss: 0.5398302040994167
Iter 95, Training Accuracy: 0.9543333321809768, Training Loss: 0.6059193946421146, Testing Accuracy: 0.9546666622161866, Testing Loss: 0.6153303179889917
Iter 96, Training Accuracy: 0.9559999942779541, Training Loss: 0.6238714838400483, Testing Accuracy: 0.9513333290815353, Testing Loss: 0.6558773592114449
Iter 97, Training Accuracy: 0.9639999896287919, Training Loss: 0.5663048923015594, Testing Accuracy: 0.9569999933242798, Testing Loss: 0.6686471523717046
Iter 98, Training Accuracy: 0.9566666603088378, Training Loss: 0.6201568748801947, Testing Accuracy: 0.9533333271741867, Testing Loss: 0.6619725879281759
Iter 99, Training Accuracy: 0.9616666734218597, Training Loss: 0.5531831942498684, Testing Accuracy: 0.9583333253860473, Testing Loss: 0.5947810485959053
Iter 100, Training Accuracy: 0.9586666554212571, Training Loss: 0.558233231306076, Testing Accuracy: 0.9599999904632568, Testing Loss: 0.5607258044183254
Iter 101, Training Accuracy: 0.9579999923706055, Training Loss: 0.5873366948217154, Testing Accuracy: 0.9563333332538605, Testing Loss: 0.5972139947116375
Iter 102, Training Accuracy: 0.9529999971389771, Training Loss: 0.6750990897417068, Testing Accuracy: 0.9526666641235352, Testing Loss: 0.6759268119931221
Iter 103, Training Accuracy: 0.9703333407640458, Training Loss: 0.4474735129624605, Testing Accuracy: 0.9719999998807907, Testing Loss: 0.42373754922300577
Iter 104, Training Accuracy: 0.9553333312273026, Training Loss: 0.594159129075706, Testing Accuracy: 0.9603333324193954, Testing Loss: 0.5736612575128675
Iter 105, Training Accuracy: 0.9626666694879532, Training Loss: 0.5156664829701185, Testing Accuracy: 0.9593333274126052, Testing Loss: 0.5550682805478573
Iter 106, Training Accuracy: 0.9593333244323731, Training Loss: 0.5671442085877061, Testing Accuracy: 0.9466666609048844, Testing Loss: 0.6853397432714701
Iter 107, Training Accuracy: 0.9659999966621399, Training Loss: 0.48005134239792824, Testing Accuracy: 0.9653333306312561, Testing Loss: 0.49312766268849373
Iter 108, Training Accuracy: 0.9633333325386048, Training Loss: 0.4928985107690096, Testing Accuracy: 0.9693333327770233, Testing Loss: 0.43431874131783843
Iter 109, Training Accuracy: 0.9733333349227905, Training Loss: 0.398821915499866, Testing Accuracy: 0.9689999938011169, Testing Loss: 0.4349331730045378
Iter 110, Training Accuracy: 0.9676666617393493, Training Loss: 0.45011790934950113, Testing Accuracy: 0.9683333396911621, Testing Loss: 0.42402499867603183
Iter 111, Training Accuracy: 0.9680000007152557, Training Loss: 0.43971277866512537, Testing Accuracy: 0.9686666667461395, Testing Loss: 0.44545020814985037
Iter 112, Training Accuracy: 0.9703333348035812, Training Loss: 0.4166465285234153, Testing Accuracy: 0.9616666615009308, Testing Loss: 0.4946573553606868
Iter 113, Training Accuracy: 0.9616666585206985, Training Loss: 0.5656950259581208, Testing Accuracy: 0.9609999924898147, Testing Loss: 0.5435149408876896
Iter 114, Training Accuracy: 0.9693333297967911, Training Loss: 0.44235035590827465, Testing Accuracy: 0.9676666676998138, Testing Loss: 0.4709879858419299
Iter 115, Training Accuracy: 0.9546666502952575, Training Loss: 0.5985816847532988, Testing Accuracy: 0.9613333284854889, Testing Loss: 0.5307340025901794
Iter 116, Training Accuracy: 0.9746666669845581, Training Loss: 0.3602529689669609, Testing Accuracy: 0.9723333358764649, Testing Loss: 0.39987847674638033
Iter 117, Training Accuracy: 0.9699999988079071, Training Loss: 0.40823046769946814, Testing Accuracy: 0.9740000098943711, Testing Loss: 0.3977700462564826
Iter 118, Training Accuracy: 0.9643333256244659, Training Loss: 0.4716793899424374, Testing Accuracy: 0.9636666566133499, Testing Loss: 0.5059658363461494
